SORU,CEVAP
"Merhaba, Bugün için vertigo teşhisi hasta için randevu talebim olacaktı Birde yeriniz nerede acaba ?",İstanbul Kadıköy (DEMO)nda ve Şişli (DEMO)de kliniklerimiz mevcut Bugün hocamız Kadıköy (DEMO) kliniğinde 14.00 için randevu oluşturabiliriz
Merhaba! Bunun hakkında daha faza bilgi alabilir miyim? Hocam varmı tedavisi,"Merhabalar, öncelikle çok geçmiş olsun. Çınlama şikayeti olan hastalarımızın ilk değerlendirmesini yaptıktan sonra tedavisini planlamaktayız. Yüzde yüz geçme gibi bir ihtimal sunabilmemiz çok zor ama en iyi ihtimalle %85 oranında kulağınızdaki sesi TRT yöntemi ile geri plana atıyoruz. Size özel modüller yapılan testler sonucunda hazırlanıyor dolayısıyla ilk değerlendirme önemli. Dilerseniz bir randevu oluşturabiliriz"
Teşekkür ederim Yeriniz nerde acaba,İstanbul Kadıköy Bakırköy (DEMO) ve Şişli (DEMO)de şubelerimiz mevcut
Bakırköy (DEMO) şubenizin açık adresi varmı hocam,konum: [konum-linki-demo] Kartaltepe mahallesi İncirli caddesi no 72c Randevu oluşturmak ister misiniz
Hocam bakacağım müsait bir duruma göre,Tabi nasıl isterseniz
Merhaba! Bunun hakkında daha faza bilgi alabilir miyim?,"Merhabalar, öncelikle çok geçmiş olsun. Çınlama şikayeti olan hastalarımızın ilk değerlendirmesini yaptıktan sonra tedavisini planlamaktayız. Yüzde yüz geçme gibi bir ihtimal sunabilmemiz çok zor ama en iyi ihtimalle %85 oranında kulağınızdaki sesi TRT yöntemi ile geri plana atıyoruz. Size özel modüller yapılan testler sonucunda hazırlanıyor dolayısıyla ilk değerlendirme önemli. Dilerseniz bir randevu oluşturabiliriz"
Merhaba tekrar Yeriniz nerede acaba? Isitme testi de yaptirabiliyor muyuz?,İstanbul Kadıköy Bakırköy (DEMO) ve Şişli (DEMO)de şubelerimiz mevcut İşitme testi de yapabiliyoruz
Mecidiyekoy'de yerinizu ogrenebilir mitim? En yakin yer bana orasi cunku,Şişli (DEMO) de Şişli Plaza (DEMO) içerisinde kliniğimiz
Tamam randevu mu almamiz gerekiyor?,Evet efendim randevu ile çalışıyoruz
Timpanometri ve ostaki borusu disfonksiyonu icin tetkikler de yapabikiyor musunuz? Bu teshis kondu ama tetkikleri tekrar baska bir yerde yaptirmak bir iyikesme olup olmadigini ve isitmemde kayip olup olmadigini gormek istiyorum Ve cinlamam icin de tabi Onceki tum testlerimi de getirecegim tabi,Pazartesi günü saat 9.30için randevunuzu oluşturacağım onaylıyorsanız Şişli Plaza (DEMO) Starbucks Şişli Plaza (DEMO) [konum-linki-demo] Torunun önünde Starbucks'ın hemen sol tarafında döner bir kapı var oradan içeriye giriyorsunuz güvenliğe 66 numara Uzman Uzman Ilıcalıya veya Uzman Ruhioğlu Çınara geldim derseniz yönlendirme sağlayacaklar ☺🌸 39 numara
Tamam tesekkurler bilgiler icin,Rica ederim geçmiş olsun görüşmek üzere 😊
"İyi akşamlar Uzman Hanım, Tinnitus problemimle birlikte, yüksek frekanslarda duyu kaybı da yaşıyorum. Takip edebildiğim kadarı ile tinnitus tedavi edilemiyor. Önerileriniz varsa kısaca paylaşırsanız sevinirim. Teşekkür ederim. Uzman Boeno","Merhabalar, öncelikle çok geçmiş olsun. Çınlama şikayeti olan hastalarımızın ilk değerlendirmesini yaptıktan sonra tedavisini planlamaktayız. Yüzde yüz geçme gibi bir ihtimal sunabilmemiz çok zor ama en iyi ihtimalle %85 oranında kulağınızdaki sesi TRT yöntemi ile geri plana atıyoruz. Size özel modüller yapılan testler sonucunda hazırlanıyor dolayısıyla ilk değerlendirme önemli. Dilerseniz bir randevu oluşturabiliriz"
"Bilgilendirme için teşekkür ederim. TRT yöntemini okudum. Uzun bir süreç, ancak faydası olabilir. Seyahatteyim, dönüşümde arayacağım. Tekrar teşekkür ediyorum.",Rica ederim görüşmek üzere 🌸
Merhaba Widex işitme cihazları ile ilgili bilgi almak istiyorum. Fiat özellikle görünmez olandan Tskler,İşitme cihazları kişiye özel seçilir. İşitme testine göre değerlendirme yapılır. Ancak genel olarak fiyatlar 30.000-80.000Tl aralığındadır. Size uygun olan marka ve model içerisinden şubelerimizde net indirimler uygulanmaktadır.
Merhaba İyi günler Bu testlerin fiyatı ne kadar Yabancı hasta için,Merhaba toplam 9500Tl
Merhaba Rdv alabilir miyiz,Tabi efendim cuma günü 16.00 için oluşturabiliriz randevunuzu isterseniz
tamam,Hastanın isim soyisimini rica edebilir miyim
hastanin kimlik atacagim size othman almukhtar alshareef Sizin konum bana atar mısınız,Torunun önünde Starbucks'ın hemen sol tarafında döner bir kapı var oradan içeriye giriyorsunuz güvenliğe 39 numara Uzman Uzman Ilıcalıya veya Uzman Ruhioğlu Çınara geldim derseniz yönlendirme sağlayacaklar ☺🌸 [konum-linki-demo]
tesekkur ederim,Rica ederim iyi günler
iyi gunler,08.08.2025 Cuma günü 16.00 randevunuz oluşturulmuştur İyi günler😊
"Merhaba, Sürekli kulak çınlaması ile ilgili nasıl bir tedavi uygulanır Muayene ücretiniz ne kadar acaba",İlk değerlendirme yapılacak tüm testler ve deneme seansı toplam 5000Tl
Teşekkür ederim,Rica ederim randevu oluşturmak ister misiniz
Çok Teşekkürler ücret fazla geldi bize,Peki efendim geçmiş olsun
Teşekkür ederim,
"Merhaba,",Merhaba nasıl yardımcı olabiliriz
Kliniğiniz nerde acaba,İstanbul Kadıköy Bakırköy (DEMO) ve Şişli (DEMO)de şubelerimiz mevcut
Tinnitus için başvurmuştum muayene ücretini merak ediyorum,İlk değerlendirme tüm testler ve deneme seansı toplam 5000Tl bir ücreti mevcut
Daha detaylı bilgi almak için uğramak isterim. Şişli (DEMO) en yakın yer bana. Gün içinde gelmeye çalışacağım.,Daha detaylı bilgi için müsait olduğunuz bir zamanda telefon ile iletişime geçebiliriz. Şişli (DEMO)deki klinikte randevu ile çalışmaktayız ☺️
"Merhaba,",Merhaba nasıl yardımcı olabiliriz
Vertigo tedavisi hakkında bilgi Alabilirmiyim,"Merhabalar, öncelikle çok geçmiş olsun. Sizlere kliniklerimizde kameralı sistemler ile iç kulağınızı inceleyerek yardımcı oluyoruz. Kanallarınızdaki kristallerde herhangi bir kayma var ise onları iyileştirici manevra ile düzeltiyoruz ve gerekli görüldüğünde bir de kontrol muayenesi ile manevra uyguluyoruz. Eğer vertigo sebebiniz kristal kayması değilse başka denge analizleri ve testler ile denge bozukluğunuzun sebebini belirliyoruz ve rehabilitasyon planlıyoruz."
Manevra evde yek yapmak bayağı zor orada yapılıyor mu ücret bilgilerini alabilirmiyim Ve bugün müsaittir durumunuz nedir,"Hem yapılacak genel denge testleri, kameralı sistem incelenmesi ve manevra tedavisi dahil 9500Tl bir ücretimiz mevcut"
Toplam tedavi ucretimi,Evet
Adres bilgisini alabilirmiyim,İstanbul Kadıköy (DEMO)nda ve Şişli (DEMO)de kliniklerimiz mevcut Hangi kliniğin adresini istersiniz
Kozyatagi,[konum-linki-demo] Bugün öğlen 12.00 için randevu oluşturabiliriz
Tamamdır bilgi almak isterim evde yapmam icin bana manevra hareketleri verilecek mi tedavi surecince Uygun,Ev egzersizleri verilecek ama evde manevra yapmanız yine de doğru değil Sonrasında bir kontrol daha verilecek Muayene kontrol için İlaç kullanımı var mıydı acaba
Evett,Kaç gündür kullanıyorsunuz ilacı Betaserci
Yeni 1 gun,Tamamdır isim soyisim alabilir miyim Uzman bey randevunuzu oluşturduk ama karar verebildiniz mi iptal mi edeceğiz
"Merhaba, Uzman Şahinoğlu ben. Randevu almak istiyorum Uzman hanımdan yardımcı olabilir misiniz","Merhaba, Uzman Hanım. Tabii ne için randevu istemiştiniz"
Meniere var vertigo var kulak çınlaması var maalesef;((,Anladım geçmiş olsun öncelikle. Hem denge hem çınlama testleriniz yapılacak ve sonrasında tedavi aşamaları planlanacak. Şişli (DEMO) ve Kadıköy (DEMO)nda kliniklerimiz mevcut. Neresi için yardımcı olmamı istersiniz
